step ,loss function , target value , runtime 
0,1.65382e-01,5.43809e-01,2
100,1.30386e-01,4.95194e-01,12
200,1.02302e-01,4.50304e-01,21
300,8.02928e-02,4.08791e-01,30
400,6.30928e-02,3.70203e-01,39
500,4.91341e-02,3.34382e-01,47
600,3.80230e-02,3.01359e-01,56
700,2.89132e-02,2.70783e-01,65
800,2.18546e-02,2.42741e-01,74
900,1.62353e-02,2.17057e-01,83
1000,1.19622e-02,1.93694e-01,92
1100,8.62315e-03,1.72563e-01,101
1200,6.12686e-03,1.53665e-01,109
1300,4.27923e-03,1.36896e-01,118
1400,2.94859e-03,1.22173e-01,127
1500,2.00039e-03,1.09400e-01,136
1600,1.31520e-03,9.83539e-02,145
1700,8.52042e-04,8.89808e-02,153
1800,5.36440e-04,8.11125e-02,162
1900,3.37034e-04,7.46515e-02,171
2000,2.08879e-04,6.94373e-02,180
2100,1.31879e-04,6.52513e-02,188
2200,8.68442e-05,6.19731e-02,197
2300,5.97173e-05,5.94506e-02,206
2400,4.58786e-05,5.75610e-02,215
2500,3.69799e-05,5.61719e-02,224
2600,3.29401e-05,5.51419e-02,232
2700,3.06634e-05,5.44179e-02,241
2800,2.89116e-05,5.38809e-02,250
2900,2.86900e-05,5.35703e-02,259
3000,2.78821e-05,5.32380e-02,267
3100,2.74274e-05,5.30814e-02,276
3200,2.72112e-05,5.30764e-02,285
3300,2.73548e-05,5.30404e-02,294
3400,2.72103e-05,5.29960e-02,303
3500,2.69839e-05,5.29438e-02,312
3600,2.71501e-05,5.28871e-02,320
3700,2.71891e-05,5.29148e-02,329
3800,2.66890e-05,5.28414e-02,338
3900,2.68060e-05,5.28543e-02,347
4000,2.67586e-05,5.28251e-02,355
