step ,loss function , target value , runtime 
0,1.57589e-01,5.43809e-01,3
100,1.24330e-01,4.95297e-01,12
200,9.76996e-02,4.50263e-01,21
300,7.69008e-02,4.08636e-01,30
400,5.99833e-02,3.70208e-01,39
500,4.65755e-02,3.34528e-01,47
600,3.58635e-02,3.01488e-01,56
700,2.72396e-02,2.71059e-01,65
800,2.04695e-02,2.42966e-01,74
900,1.52988e-02,2.17263e-01,82
1000,1.13101e-02,1.93881e-01,91
1100,8.17022e-03,1.72761e-01,100
1200,5.79337e-03,1.53836e-01,108
1300,4.03668e-03,1.37106e-01,116
1400,2.73482e-03,1.22324e-01,125
1500,1.82262e-03,1.09439e-01,134
1600,1.18935e-03,9.83940e-02,142
1700,7.60772e-04,8.90153e-02,151
1800,4.84828e-04,8.11993e-02,160
1900,3.01577e-04,7.47147e-02,169
2000,1.86929e-04,6.94296e-02,177
2100,1.19365e-04,6.52483e-02,186
2200,7.77743e-05,6.19237e-02,195
2300,5.43935e-05,5.94206e-02,204
2400,4.15483e-05,5.75262e-02,213
2500,3.46183e-05,5.60877e-02,222
2600,3.11942e-05,5.50056e-02,230
2700,2.92554e-05,5.43012e-02,239
2800,2.87341e-05,5.38065e-02,248
2900,2.77757e-05,5.34577e-02,257
3000,2.76040e-05,5.32780e-02,266
3100,2.73418e-05,5.31598e-02,275
3200,2.67958e-05,5.30562e-02,283
3300,2.67012e-05,5.30378e-02,292
3400,2.69203e-05,5.29793e-02,301
3500,2.65052e-05,5.29430e-02,310
3600,2.64729e-05,5.29345e-02,318
3700,2.62492e-05,5.29024e-02,327
3800,2.62697e-05,5.28896e-02,336
3900,2.60925e-05,5.28657e-02,345
4000,2.61220e-05,5.29002e-02,354
