step ,loss function , target value , runtime 
0,1.62569e-01,5.43809e-01,3
100,1.27197e-01,4.95207e-01,13
200,9.96064e-02,4.50111e-01,22
300,7.82815e-02,4.08473e-01,31
400,6.09371e-02,3.69926e-01,40
500,4.73259e-02,3.34127e-01,48
600,3.62220e-02,3.01129e-01,57
700,2.76879e-02,2.70572e-01,65
800,2.08181e-02,2.42439e-01,74
900,1.54545e-02,2.16691e-01,82
1000,1.12708e-02,1.93343e-01,90
1100,8.13459e-03,1.72261e-01,99
1200,5.75804e-03,1.53515e-01,107
1300,4.01627e-03,1.36776e-01,116
1400,2.73280e-03,1.22031e-01,125
1500,1.83896e-03,1.09228e-01,133
1600,1.19900e-03,9.81658e-02,142
1700,7.65433e-04,8.88062e-02,151
1800,4.82718e-04,8.09973e-02,159
1900,2.99696e-04,7.45936e-02,168
2000,1.84024e-04,6.94120e-02,177
2100,1.16799e-04,6.53019e-02,186
2200,7.63271e-05,6.20055e-02,194
2300,5.32338e-05,5.94848e-02,203
2400,4.03550e-05,5.75612e-02,212
2500,3.35570e-05,5.61392e-02,221
2600,3.02963e-05,5.51040e-02,230
2700,2.89411e-05,5.43931e-02,238
2800,2.81506e-05,5.38844e-02,247
2900,2.76369e-05,5.35329e-02,255
3000,2.75182e-05,5.32694e-02,264
3100,2.72253e-05,5.31613e-02,273
3200,2.69113e-05,5.30659e-02,282
3300,2.71047e-05,5.29829e-02,290
3400,2.73827e-05,5.29087e-02,299
3500,2.77450e-05,5.29192e-02,307
3600,2.76385e-05,5.28838e-02,316
3700,2.73310e-05,5.29053e-02,324
3800,2.77265e-05,5.28505e-02,333
3900,2.74464e-05,5.28762e-02,341
4000,2.71050e-05,5.29074e-02,350
