step ,loss function , target value , runtime 
0,1.63812e-01,5.43809e-01,2
100,1.28258e-01,4.95190e-01,12
200,1.00753e-01,4.50336e-01,21
300,7.93871e-02,4.08778e-01,30
400,6.18184e-02,3.70073e-01,39
500,4.76299e-02,3.34267e-01,48
600,3.64299e-02,3.01093e-01,57
700,2.78667e-02,2.70578e-01,65
800,2.08981e-02,2.42483e-01,74
900,1.55747e-02,2.16839e-01,83
1000,1.13896e-02,1.93461e-01,92
1100,8.22203e-03,1.72264e-01,101
1200,5.83993e-03,1.53412e-01,110
1300,4.03303e-03,1.36690e-01,119
1400,2.72713e-03,1.21980e-01,128
1500,1.82746e-03,1.09250e-01,136
1600,1.19116e-03,9.82572e-02,145
1700,7.53493e-04,8.89449e-02,154
1800,4.66642e-04,8.10715e-02,163
1900,2.91577e-04,7.46399e-02,172
2000,1.80509e-04,6.94433e-02,181
2100,1.14422e-04,6.52878e-02,190
2200,7.63127e-05,6.20066e-02,198
2300,5.41022e-05,5.94550e-02,207
2400,4.29506e-05,5.75286e-02,216
2500,3.70071e-05,5.61307e-02,225
2600,3.39217e-05,5.50961e-02,234
2700,3.22228e-05,5.44257e-02,242
2800,3.15022e-05,5.39173e-02,251
2900,3.10866e-05,5.35092e-02,260
3000,3.04664e-05,5.33061e-02,269
3100,3.04525e-05,5.31414e-02,277
3200,3.04636e-05,5.30740e-02,286
3300,3.00893e-05,5.29858e-02,294
3400,3.03266e-05,5.29288e-02,302
3500,3.05211e-05,5.29246e-02,311
3600,3.03875e-05,5.28864e-02,319
3700,3.01653e-05,5.28965e-02,328
3800,2.99114e-05,5.29059e-02,337
3900,2.96830e-05,5.28599e-02,345
4000,2.91763e-05,5.28919e-02,353
