step,loss function, target value
0,1.57427e+00,1.84192e+00
100,4.33985e-01,1.80137e+00
200,2.66343e-01,1.78161e+00
300,2.59656e-01,1.76913e+00
400,2.59122e-01,1.76243e+00
500,2.55491e-01,1.75490e+00
600,2.57976e-01,1.75461e+00
700,2.55300e-01,1.75682e+00
800,2.58407e-01,1.75171e+00
900,2.56142e-01,1.74712e+00
1000,2.51708e-01,1.75978e+00
1100,2.53131e-01,1.75476e+00
1200,2.50655e-01,1.76420e+00
1300,2.52304e-01,1.75157e+00
1400,2.49780e-01,1.76082e+00
1500,2.46052e-01,1.76733e+00
1600,2.52502e-01,1.75292e+00
1700,2.51416e-01,1.75568e+00
1800,2.49543e-01,1.75642e+00
1900,2.46834e-01,1.76070e+00
2000,2.49875e-01,1.75909e+00
2100,2.51561e-01,1.75336e+00
2200,2.52126e-01,1.74361e+00
2300,2.48796e-01,1.75142e+00
2400,2.51802e-01,1.75551e+00
2500,2.49454e-01,1.74825e+00
2600,2.49701e-01,1.75025e+00
2700,2.56631e-01,1.75018e+00
2800,2.52020e-01,1.75379e+00
2900,2.48351e-01,1.75521e+00
3000,2.47068e-01,1.75896e+00
