step,loss function, target value
0,1.20775e+00,1.84192e+00
100,3.55234e-01,1.80518e+00
200,2.28694e-01,1.78285e+00
300,2.14067e-01,1.76899e+00
400,2.10952e-01,1.75646e+00
500,2.10754e-01,1.75448e+00
600,2.09522e-01,1.75804e+00
700,2.08871e-01,1.75717e+00
800,2.09898e-01,1.75377e+00
900,2.10678e-01,1.75024e+00
1000,2.09586e-01,1.75833e+00
1100,2.09104e-01,1.75951e+00
1200,2.08619e-01,1.75835e+00
1300,2.09399e-01,1.75041e+00
1400,2.08795e-01,1.76021e+00
1500,2.09108e-01,1.76093e+00
1600,2.10877e-01,1.76001e+00
1700,2.10235e-01,1.75596e+00
1800,2.11970e-01,1.76112e+00
1900,2.09364e-01,1.75674e+00
2000,2.09425e-01,1.76101e+00
2100,2.08266e-01,1.75244e+00
2200,2.11433e-01,1.75176e+00
2300,2.12252e-01,1.75512e+00
2400,2.09963e-01,1.75337e+00
2500,2.10619e-01,1.75671e+00
2600,2.13230e-01,1.76474e+00
2700,2.10626e-01,1.74915e+00
2800,2.13975e-01,1.75631e+00
2900,2.10024e-01,1.76196e+00
3000,2.11006e-01,1.75458e+00
