step,loss function, target value
0,1.47061e+00,1.84192e+00
100,3.83534e-01,1.80042e+00
200,2.37192e-01,1.78009e+00
300,2.22802e-01,1.76055e+00
400,2.21883e-01,1.76713e+00
500,2.19603e-01,1.75737e+00
600,2.21033e-01,1.75981e+00
700,2.17848e-01,1.76067e+00
800,2.13896e-01,1.75548e+00
900,2.12510e-01,1.75188e+00
1000,2.16320e-01,1.76485e+00
1100,2.12980e-01,1.75722e+00
1200,2.12418e-01,1.76957e+00
1300,2.10992e-01,1.76348e+00
1400,2.13862e-01,1.75876e+00
1500,2.08311e-01,1.75251e+00
1600,2.08543e-01,1.76029e+00
1700,2.08235e-01,1.75503e+00
1800,2.07803e-01,1.74771e+00
1900,2.08393e-01,1.76140e+00
2000,2.07786e-01,1.75922e+00
2100,2.08600e-01,1.75645e+00
2200,2.08201e-01,1.76019e+00
2300,2.08263e-01,1.75795e+00
2400,2.04855e-01,1.75828e+00
2500,2.05768e-01,1.75468e+00
2600,2.08112e-01,1.74985e+00
2700,2.08912e-01,1.75302e+00
2800,2.12484e-01,1.75576e+00
2900,2.06985e-01,1.75458e+00
3000,2.08485e-01,1.76249e+00
