step,loss function, target value
0,1.17867e+00,1.84192e+00
100,2.60733e-01,1.80278e+00
200,1.65015e-01,1.78102e+00
300,1.64222e-01,1.76800e+00
400,1.64588e-01,1.75665e+00
500,1.64382e-01,1.75781e+00
600,1.64232e-01,1.75872e+00
700,1.63078e-01,1.76163e+00
800,1.62962e-01,1.75260e+00
900,1.64676e-01,1.75460e+00
1000,1.61573e-01,1.75510e+00
1100,1.62990e-01,1.75900e+00
1200,1.62667e-01,1.75895e+00
1300,1.63670e-01,1.76176e+00
1400,1.61302e-01,1.75912e+00
1500,1.63924e-01,1.75475e+00
1600,1.63127e-01,1.75776e+00
1700,1.62492e-01,1.75614e+00
1800,1.64184e-01,1.75674e+00
1900,1.63182e-01,1.75770e+00
2000,1.63999e-01,1.75522e+00
2100,1.66031e-01,1.75792e+00
2200,1.63494e-01,1.75454e+00
2300,1.64352e-01,1.76556e+00
2400,1.63945e-01,1.75672e+00
2500,1.65444e-01,1.75478e+00
2600,1.64609e-01,1.75541e+00
2700,1.63649e-01,1.76011e+00
2800,1.66109e-01,1.75922e+00
2900,1.64770e-01,1.75687e+00
3000,1.65965e-01,1.75085e+00
