step ,loss function ,  target value , runtime 
0,1.61578e-01,5.43809e-01,16
100,1.26918e-01,4.95161e-01,44
200,9.94224e-02,4.50036e-01,63
300,7.80319e-02,4.08321e-01,84
400,6.08380e-02,3.69753e-01,107
500,4.72668e-02,3.34010e-01,130
600,3.62474e-02,3.01031e-01,150
700,2.76119e-02,2.70482e-01,168
800,2.07763e-02,2.42413e-01,190
900,1.54254e-02,2.16701e-01,209
1000,1.12873e-02,1.93328e-01,226
1100,8.18699e-03,1.72307e-01,246
1200,5.85128e-03,1.53465e-01,266
1300,4.13187e-03,1.36737e-01,287
1400,2.87610e-03,1.22065e-01,302
1500,1.99873e-03,1.09313e-01,322
1600,1.36363e-03,9.81667e-02,338
1700,9.46000e-04,8.88112e-02,358
1800,6.71124e-04,8.10344e-02,376
1900,4.93030e-04,7.44946e-02,397
2000,3.83764e-04,6.92542e-02,418
2100,3.22427e-04,6.51897e-02,437
2200,2.84815e-04,6.19099e-02,454
2300,2.64936e-04,5.93528e-02,471
2400,2.53071e-04,5.74236e-02,489
2500,2.47211e-04,5.60862e-02,506
2600,2.44277e-04,5.51640e-02,525
2700,2.36030e-04,5.43732e-02,545
2800,2.34066e-04,5.38334e-02,565
2900,2.35765e-04,5.35516e-02,585
3000,2.34510e-04,5.31799e-02,600
3100,2.30762e-04,5.30863e-02,619
3200,2.28657e-04,5.30763e-02,636
3300,2.25278e-04,5.29343e-02,656
3400,2.22098e-04,5.30837e-02,677
3500,2.19872e-04,5.30023e-02,696
3600,2.18678e-04,5.30080e-02,714
3700,2.13134e-04,5.29996e-02,735
3800,2.12293e-04,5.29025e-02,759
3900,2.06692e-04,5.29223e-02,776
4000,1.98030e-04,5.31844e-02,793
