step ,loss function ,  target value , runtime 
0,1.57275e-01,5.43809e-01,13
100,1.22933e-01,4.95264e-01,38
200,9.67815e-02,4.50254e-01,55
300,7.62236e-02,4.08671e-01,75
400,5.95569e-02,3.70223e-01,94
500,4.61375e-02,3.34478e-01,117
600,3.56555e-02,3.01493e-01,134
700,2.71626e-02,2.70987e-01,154
800,2.04736e-02,2.42880e-01,178
900,1.53170e-02,2.17194e-01,195
1000,1.12820e-02,1.93787e-01,214
1100,8.19393e-03,1.72689e-01,233
1200,5.89682e-03,1.53761e-01,253
1300,4.16692e-03,1.37060e-01,273
1400,2.91236e-03,1.22329e-01,292
1500,2.01408e-03,1.09417e-01,309
1600,1.39016e-03,9.83543e-02,332
1700,9.75181e-04,8.91101e-02,349
1800,7.02782e-04,8.12863e-02,367
1900,5.18940e-04,7.47305e-02,389
2000,4.05951e-04,6.94128e-02,409
2100,3.37887e-04,6.52354e-02,431
2200,2.95837e-04,6.19065e-02,450
2300,2.71225e-04,5.93502e-02,468
2400,2.56420e-04,5.74653e-02,488
2500,2.49642e-04,5.60438e-02,504
2600,2.48547e-04,5.49805e-02,523
2700,2.44093e-04,5.42398e-02,542
2800,2.42009e-04,5.39275e-02,562
2900,2.37421e-04,5.36119e-02,581
3000,2.33360e-04,5.34468e-02,601
3100,2.30378e-04,5.31736e-02,622
3200,2.27139e-04,5.31178e-02,640
3300,2.23871e-04,5.31286e-02,658
3400,2.22776e-04,5.30095e-02,676
3500,2.23146e-04,5.30208e-02,694
3600,2.22821e-04,5.31368e-02,712
3700,2.19419e-04,5.29594e-02,732
3800,2.17977e-04,5.28212e-02,749
3900,2.14168e-04,5.27877e-02,770
4000,2.08661e-04,5.29830e-02,789 
