step ,loss function ,  target value , runtime 
0,1.62758e-01,5.43809e-01,13
100,1.27561e-01,4.95252e-01,40
200,1.00189e-01,4.50389e-01,60
300,7.87259e-02,4.08845e-01,83
400,6.13938e-02,3.70212e-01,104
500,4.75417e-02,3.34392e-01,120
600,3.64645e-02,3.01159e-01,141
700,2.77471e-02,2.70669e-01,160
800,2.08731e-02,2.42633e-01,182
900,1.55419e-02,2.16861e-01,198
1000,1.14104e-02,1.93483e-01,217
1100,8.23146e-03,1.72321e-01,237
1200,5.87191e-03,1.53384e-01,255
1300,4.12590e-03,1.36580e-01,274
1400,2.87348e-03,1.21898e-01,298
1500,1.96916e-03,1.09103e-01,315
1600,1.36498e-03,9.80797e-02,336
1700,9.59560e-04,8.88238e-02,356
1800,6.92665e-04,8.09294e-02,376
1900,5.24813e-04,7.45043e-02,395
2000,4.26246e-04,6.92614e-02,413
2100,3.68916e-04,6.51698e-02,435
2200,3.34604e-04,6.18974e-02,456
2300,3.15191e-04,5.93381e-02,476
2400,3.07887e-04,5.75167e-02,495
2500,3.05321e-04,5.61339e-02,513
2600,3.03525e-04,5.50568e-02,532
2700,2.99704e-04,5.44860e-02,549
2800,2.98415e-04,5.39022e-02,568
2900,2.93070e-04,5.34635e-02,586
3000,2.88880e-04,5.32595e-02,603
3100,2.87431e-04,5.31563e-02,623
3200,2.83439e-04,5.32373e-02,641
3300,2.80676e-04,5.30152e-02,660
3400,2.72581e-04,5.30124e-02,681
3500,2.70449e-04,5.27789e-02,702
3600,2.69042e-04,5.25498e-02,723
3700,2.67776e-04,5.26557e-02,746
3800,2.64869e-04,5.29079e-02,765
3900,2.58520e-04,5.30341e-02,787
4000,2.49264e-04,5.30249e-02,803
