step ,loss function ,  target value , runtime 
0,1.65030e-01,5.43809e-01,14
100,1.28967e-01,4.95186e-01,38
200,1.01146e-01,4.50281e-01,58
300,7.93150e-02,4.08711e-01,79
400,6.22822e-02,3.70110e-01,98
500,4.85112e-02,3.34346e-01,117
600,3.74768e-02,3.01309e-01,137
700,2.85581e-02,2.70721e-01,158
800,2.15672e-02,2.42680e-01,179
900,1.61428e-02,2.17003e-01,200
1000,1.19253e-02,1.93632e-01,215
1100,8.63795e-03,1.72488e-01,237
1200,6.19530e-03,1.53628e-01,254
1300,4.39317e-03,1.36816e-01,275
1400,3.08834e-03,1.22044e-01,295
1500,2.16473e-03,1.09310e-01,314
1600,1.50221e-03,9.82873e-02,334
1700,1.05758e-03,8.89539e-02,351
1800,7.50162e-04,8.10724e-02,371
1900,5.55280e-04,7.45682e-02,391
2000,4.31698e-04,6.94013e-02,410
2100,3.57734e-04,6.53114e-02,426
2200,3.09315e-04,6.19693e-02,446
2300,2.83140e-04,5.95541e-02,465
2400,2.67161e-04,5.75562e-02,483
2500,2.56604e-04,5.61416e-02,503
2600,2.50150e-04,5.50894e-02,523
2700,2.48614e-04,5.44712e-02,543
2800,2.44341e-04,5.38981e-02,563
2900,2.41096e-04,5.35960e-02,583
3000,2.38870e-04,5.33442e-02,605
3100,2.36293e-04,5.31160e-02,624
3200,2.33446e-04,5.31706e-02,645
3300,2.31186e-04,5.29622e-02,665
3400,2.27169e-04,5.29081e-02,684
3500,2.28901e-04,5.27961e-02,705
3600,2.23200e-04,5.28964e-02,722
3700,2.18315e-04,5.27400e-02,742
3800,2.16678e-04,5.28827e-02,761
3900,2.12101e-04,5.27466e-02,777
4000,2.09918e-04,5.27062e-02,798
